,deposit
960,yes
961,no
962,yes
963,no
964,no
965,yes
966,no
967,yes
968,no
969,yes
970,yes
971,yes
972,no
973,no
974,yes
975,no
976,yes
977,yes
978,no
979,no
980,yes
981,yes
982,yes
983,no
984,no
985,no
986,yes
987,no
988,no
989,yes
990,yes
991,yes
992,no
993,yes
994,yes
995,yes
996,no
997,no
998,yes
999,no
1000,yes
1001,no
1002,no
1003,yes
1004,no
1005,yes
1006,yes
1007,no
1008,yes
1009,yes
1010,no
1011,no
1012,yes
1013,no
1014,yes
1015,yes
1016,no
1017,yes
1018,no
1019,yes
1020,yes
1021,yes
1022,no
1023,yes
1024,no
1025,yes
1026,yes
1027,yes
1028,yes
1029,no
1030,yes
1031,yes
1032,no
1033,no
1034,no
1035,no
1036,yes
1037,no
1038,no
1039,no
1040,no
1041,no
1042,yes
1043,yes
1044,yes
1045,no
1046,no
1047,yes
1048,yes
1049,no
1050,yes
1051,no
1052,yes
1053,yes
1054,yes
1055,no
1056,yes
1057,yes
1058,no
1059,no
1060,yes
1061,no
1062,yes
1063,no
1064,no
1065,no
1066,yes
1067,yes
1068,yes
1069,yes
1070,no
1071,yes
1072,no
1073,yes
1074,yes
1075,no
1076,no
1077,yes
1078,yes
1079,yes
1080,yes
1081,yes
1082,no
1083,yes
1084,yes
1085,yes
1086,yes
1087,yes
1088,no
1089,yes
1090,no
1091,no
1092,yes
1093,no
1094,no
1095,yes
1096,no
1097,yes
1098,no
1099,yes
1100,no
1101,no
1102,no
1103,yes
1104,no
1105,no
1106,no
1107,yes
1108,no
1109,no
1110,no
1111,no
1112,yes
1113,yes
1114,yes
1115,yes
1116,no
1117,yes
1118,yes
1119,yes
1120,yes
1121,yes
1122,yes
1123,no
1124,no
1125,no
1126,yes
1127,yes
1128,no
1129,no
1130,yes
1131,yes
1132,yes
1133,no
1134,no
1135,no
1136,yes
1137,yes
1138,yes
1139,yes
1140,yes
1141,yes
1142,yes
1143,yes
1144,yes
1145,yes
1146,yes
1147,yes
1148,yes
1149,yes
1150,yes
1151,yes
1152,no
1153,yes
1154,no
1155,no
1156,no
1157,no
1158,no
1159,yes
1160,no
1161,no
1162,no
1163,yes
1164,yes
1165,no
1166,no
1167,no
1168,yes
1169,no
1170,yes
1171,no
1172,no
1173,no
1174,yes
1175,yes
1176,no
1177,yes
1178,no
1179,no
1180,yes
1181,no
1182,no
1183,no
1184,no
1185,no
1186,no
1187,no
1188,yes
1189,yes
1190,yes
1191,no
1192,no
1193,no
1194,yes
1195,no
1196,yes
1197,no
1198,no
1199,yes
1200,yes
1201,no
1202,yes
1203,no
1204,yes
1205,no
1206,yes
1207,yes
1208,no
1209,no
1210,yes
1211,yes
1212,no
1213,no
1214,no
1215,no
1216,yes
1217,no
1218,yes
1219,no
1220,yes
1221,yes
1222,no
1223,yes
1224,yes
1225,yes
1226,yes
1227,no
1228,no
1229,yes
1230,yes
1231,yes
1232,no
1233,yes
1234,no
1235,yes
1236,yes
1237,no
1238,no
1239,no
1240,yes
1241,yes
1242,yes
1243,no
1244,no
1245,no
1246,no
1247,yes
1248,no
1249,no
1250,yes
1251,yes
1252,no
1253,no
1254,no
1255,yes
1256,yes
1257,yes
1258,yes
1259,no
1260,yes
1261,yes
1262,yes
1263,no
1264,no
1265,yes
1266,yes
1267,no
1268,yes
1269,yes
1270,no
1271,no
1272,no
1273,no
1274,no
1275,yes
1276,yes
1277,no
1278,yes
1279,no
1280,yes
1281,yes
1282,yes
1283,yes
1284,no
1285,yes
1286,yes
1287,no
1288,no
1289,yes
1290,yes
1291,no
1292,no
1293,no
1294,no
1295,yes
1296,no
1297,yes
1298,yes
1299,yes
1300,yes
1301,yes
1302,yes
1303,no
1304,yes
1305,no
1306,yes
1307,yes
1308,yes
1309,yes
1310,yes
1311,no
1312,no
1313,yes
1314,yes
1315,no
1316,no
1317,yes
1318,yes
1319,no
1320,no
1321,yes
1322,yes
1323,no
1324,yes
1325,no
1326,no
1327,no
1328,no
1329,no
1330,yes
1331,yes
1332,yes
1333,yes
1334,yes
1335,yes
1336,no
1337,yes
1338,yes
1339,yes
1340,no
1341,no
1342,yes
1343,yes
1344,yes
1345,no
1346,no
1347,no
1348,yes
1349,no
1350,no
1351,no
1352,no
1353,no
1354,yes
1355,yes
1356,no
1357,no
1358,no
1359,no
1360,no
1361,no
1362,no
1363,no
1364,no
1365,yes
1366,no
1367,yes
1368,no
1369,yes
1370,no
1371,yes
1372,yes
1373,no
1374,no
1375,yes
1376,no
1377,yes
1378,no
1379,no
1380,yes
1381,no
1382,no
1383,no
1384,no
1385,yes
1386,no
1387,no
1388,yes
1389,no
1390,yes
1391,no
1392,yes
1393,yes
1394,yes
1395,no
1396,yes
1397,yes
1398,no
1399,yes
1400,yes
1401,no
1402,no
1403,yes
1404,no
1405,yes
1406,yes
1407,yes
1408,no
1409,yes
1410,yes
1411,no
1412,no
1413,yes
1414,no
1415,yes
1416,no
1417,yes
1418,yes
1419,yes
1420,yes
1421,yes
1422,yes
1423,no
1424,yes
1425,no
1426,no
1427,yes
1428,yes
1429,yes
1430,no
1431,no
1432,no
1433,no
1434,yes
1435,no
1436,no
1437,no
1438,no
1439,yes
1440,no
1441,yes
1442,yes
1443,yes
1444,no
1445,no
1446,no
1447,yes
1448,no
1449,yes
1450,yes
1451,yes
1452,no
1453,yes
1454,no
1455,no
1456,yes
1457,no
1458,no
1459,no
1460,no
1461,no
1462,no
1463,yes
1464,yes
1465,yes
1466,no
1467,no
1468,yes
1469,yes
1470,yes
1471,no
1472,yes
1473,yes
1474,no
1475,yes
1476,yes
1477,no
1478,no
1479,yes
1480,no
1481,yes
1482,no
1483,yes
1484,no
1485,no
1486,yes
1487,yes
1488,yes
1489,no
1490,yes
1491,no
1492,no
1493,no
1494,no
1495,yes
1496,no
1497,yes
1498,no
1499,no
1500,yes
1501,yes
1502,no
1503,no
1504,yes
1505,no
1506,no
1507,yes
1508,yes
1509,no
1510,no
1511,no
1512,no
1513,no
1514,no
1515,no
1516,yes
1517,no
1518,yes
1519,no
1520,yes
1521,yes
1522,no
1523,no
1524,no
1525,yes
1526,yes
1527,yes
1528,no
1529,yes
1530,no
1531,yes
1532,no
1533,yes
1534,no
1535,no
1536,yes
1537,yes
1538,no
1539,no
1540,yes
1541,yes
1542,yes
1543,yes
1544,yes
1545,yes
1546,yes
1547,yes
1548,yes
1549,no
1550,no
1551,yes
1552,no
1553,yes
1554,yes
1555,yes
1556,no
1557,no
1558,yes
1559,yes
1560,no
1561,no
1562,no
1563,no
1564,yes
1565,yes
1566,yes
1567,no
1568,yes
1569,yes
1570,yes
1571,no
1572,yes
1573,no
1574,no
1575,yes
1576,no
1577,yes
1578,yes
1579,no
1580,no
1581,yes
1582,no
1583,yes
1584,no
1585,yes
1586,yes
1587,no
1588,no
1589,yes
1590,yes
1591,yes
1592,yes
1593,no
1594,no
1595,yes
1596,yes
1597,no
1598,no
1599,yes
1600,no
1601,yes
1602,no
1603,no
1604,no
1605,no
1606,yes
1607,no
1608,no
1609,no
1610,yes
1611,yes
1612,yes
1613,yes
1614,no
1615,yes
1616,yes
1617,yes
1618,yes
1619,no
1620,yes
1621,no
1622,yes
1623,no
1624,yes
1625,no
1626,no
1627,no
1628,no
1629,yes
1630,no
1631,yes
1632,yes
1633,no
1634,yes
1635,yes
1636,yes
1637,no
1638,no
1639,yes
1640,no
1641,yes
1642,yes
1643,yes
1644,yes
1645,no
1646,no
1647,yes
1648,no
1649,no
1650,no
1651,no
1652,no
1653,yes
1654,no
1655,no
1656,yes
1657,no
1658,yes
1659,no
1660,yes
1661,yes
1662,yes
1663,yes
1664,yes
1665,no
1666,yes
1667,no
1668,no
1669,yes
1670,no
1671,yes
1672,yes
1673,yes
1674,yes
1675,no
1676,no
1677,yes
1678,yes
1679,yes
1680,yes
1681,yes
1682,yes
1683,no
1684,no
1685,no
1686,yes
1687,no
1688,yes
1689,no
1690,no
1691,no
1692,yes
1693,no
1694,yes
1695,yes
1696,no
1697,yes
1698,yes
1699,no
1700,yes
1701,yes
1702,yes
1703,no
1704,yes
1705,no
1706,yes
1707,yes
1708,yes
1709,no
1710,yes
1711,yes
1712,no
1713,no
1714,no
1715,yes
1716,no
1717,yes
1718,yes
1719,yes
1720,yes
1721,yes
1722,yes
1723,yes
1724,yes
1725,no
1726,yes
1727,no
1728,yes
1729,yes
1730,no
1731,yes
1732,no
1733,yes
1734,yes
1735,no
1736,yes
1737,yes
1738,no
1739,yes
1740,yes
1741,yes
1742,no
1743,no
1744,yes
1745,yes
1746,no
1747,yes
1748,no
1749,yes
1750,yes
1751,yes
1752,yes
1753,no
1754,no
1755,no
1756,no
1757,yes
1758,no
1759,yes
1760,no
1761,no
1762,yes
1763,yes
1764,yes
1765,yes
1766,yes
1767,yes
1768,yes
1769,no
1770,yes
1771,yes
1772,yes
1773,yes
1774,yes
1775,yes
1776,yes
1777,yes
1778,no
1779,yes
1780,yes
1781,no
1782,yes
1783,yes
1784,yes
1785,no
1786,yes
1787,yes
1788,no
1789,no
1790,yes
1791,yes
1792,yes
1793,no
1794,no
1795,no
1796,yes
1797,no
1798,no
1799,yes
1800,no
1801,no
1802,yes
1803,yes
1804,no
1805,yes
1806,yes
1807,no
1808,no
1809,yes
1810,yes
1811,no
1812,yes
1813,no
1814,no
1815,yes
1816,no
1817,yes
1818,yes
1819,no
1820,yes
1821,no
1822,yes
1823,no
1824,no
1825,no
1826,no
1827,no
1828,no
1829,no
1830,yes
1831,no
1832,yes
1833,yes
1834,yes
1835,no
1836,yes
1837,yes
1838,no
1839,no
1840,no
1841,no
1842,no
1843,yes
1844,yes
1845,yes
1846,yes
1847,no
1848,no
1849,yes
1850,yes
1851,no
1852,yes
1853,yes
1854,yes
1855,no
1856,yes
1857,yes
1858,no
1859,no
1860,no
1861,yes
1862,no
1863,no
1864,yes
1865,no
1866,no
1867,no
1868,yes
1869,yes
1870,no
1871,no
1872,yes
1873,no
1874,yes
1875,no
1876,yes
1877,yes
1878,no
1879,no
1880,yes
1881,no
1882,yes
1883,no
1884,no
1885,yes
1886,yes
1887,yes
1888,no
1889,yes
1890,no
1891,yes
1892,yes
1893,no
1894,yes
1895,yes
1896,yes
1897,yes
1898,no
1899,yes
1900,yes
1901,no
1902,no
1903,no
1904,yes
1905,yes
1906,yes
1907,yes
1908,yes
1909,yes
1910,no
1911,no
1912,no
1913,yes
1914,yes
1915,no
1916,no
1917,no
1918,yes
1919,no
1920,no
1921,yes
1922,yes
1923,no
1924,yes
1925,yes
1926,yes
1927,yes
1928,no
1929,no
1930,no
1931,yes
1932,no
1933,no
1934,yes
1935,yes
1936,no
1937,no
1938,no
1939,no
1940,yes
1941,yes
1942,no
1943,yes
1944,yes
1945,no
1946,yes
1947,no
1948,yes
1949,yes
1950,no
1951,no
1952,no
1953,yes
1954,yes
1955,no
1956,no
1957,no
1958,yes
1959,yes
1960,yes
1961,yes
1962,yes
1963,yes
1964,yes
1965,yes
1966,yes
1967,no
1968,yes
1969,no
1970,no
1971,yes
1972,no
1973,yes
1974,no
1975,yes
1976,yes
1977,no
1978,yes
1979,yes
1980,no
1981,no
1982,yes
1983,yes
1984,yes
1985,yes
1986,yes
1987,yes
1988,yes
1989,no
1990,yes
1991,no
1992,no
1993,yes
1994,yes
1995,yes
1996,yes
1997,no
1998,yes
1999,yes
2000,no
2001,yes
2002,yes
2003,no
2004,no
2005,yes
2006,yes
2007,no
2008,yes
2009,yes
2010,no
2011,no
2012,yes
2013,yes
2014,no
2015,no
2016,no
2017,no
2018,no
2019,no
2020,no
2021,yes
2022,yes
2023,yes
2024,no
2025,yes
2026,no
2027,yes
2028,yes
2029,no
2030,no
2031,no
2032,no
2033,yes
2034,no
2035,yes
2036,no
2037,no
2038,yes
2039,yes
2040,yes
2041,yes
2042,yes
2043,no
2044,yes
2045,yes
2046,yes
2047,no
2048,no
2049,no
2050,no
2051,yes
2052,no
2053,yes
2054,yes
2055,no
2056,no
2057,yes
2058,yes
2059,yes
2060,yes
2061,no
2062,no
2063,yes
2064,yes
2065,no
2066,yes
2067,yes
2068,yes
2069,yes
2070,yes
2071,yes
2072,yes
2073,yes
2074,yes
2075,yes
2076,yes
2077,yes
2078,yes
2079,yes
2080,no
2081,no
2082,no
2083,no
2084,yes
2085,yes
2086,no
2087,yes
2088,no
2089,no
2090,no
2091,yes
2092,yes
2093,no
2094,yes
2095,yes
2096,yes
2097,no
2098,no
2099,yes
2100,yes
2101,yes
2102,yes
2103,no
2104,no
2105,no
2106,no
2107,yes
2108,yes
2109,no
2110,no
2111,no
2112,no
2113,no
2114,no
2115,yes
2116,no
2117,no
2118,no
2119,yes
2120,no
2121,no
2122,no
2123,yes
2124,yes
2125,no
2126,no
2127,no
2128,yes
2129,no
2130,yes
2131,yes
2132,yes
2133,yes
2134,no
2135,yes
2136,no
2137,yes
2138,yes
2139,yes
2140,yes
2141,yes
2142,yes
2143,no
2144,no
2145,yes
2146,no
2147,yes
2148,no
2149,yes
2150,no
2151,no
2152,no
2153,yes
2154,yes
2155,no
2156,no
2157,yes
2158,yes
2159,no
2160,no
2161,no
2162,no
2163,yes
2164,yes
2165,yes
2166,yes
2167,no
2168,no
2169,no
2170,yes
2171,yes
2172,yes
2173,no
2174,yes
2175,yes
2176,yes
2177,yes
2178,yes
2179,no
2180,no
2181,no
2182,yes
2183,yes
2184,yes
2185,yes
2186,yes
2187,yes
2188,yes
2189,no
2190,yes
2191,yes
2192,yes
2193,yes
2194,no
2195,no
2196,no
2197,no
2198,yes
2199,no
2200,no
2201,no
2202,yes
2203,yes
2204,yes
2205,no
2206,no
2207,yes
2208,yes
2209,yes
2210,no
2211,no
2212,no
2213,no
2214,no
2215,no
2216,no
2217,yes
2218,yes
2219,yes
2220,yes
2221,yes
2222,yes
2223,no
2224,yes
2225,no
2226,yes
2227,no
2228,yes
2229,no
2230,yes
2231,no
2232,no
2233,yes
2234,yes
2235,no
2236,yes
2237,yes
2238,no
2239,no
2240,yes
2241,yes
2242,no
2243,yes
2244,yes
2245,no
2246,no
2247,yes
2248,yes
2249,no
2250,no
2251,no
2252,yes
2253,no
2254,yes
2255,yes
2256,yes
2257,yes
2258,yes
2259,yes
2260,no
2261,no
2262,no
2263,no
2264,no
2265,no
2266,no
2267,no
2268,yes
2269,yes
2270,no
2271,no
2272,yes
2273,yes
2274,no
2275,yes
2276,yes
2277,no
2278,yes
2279,yes
2280,no
2281,no
2282,no
2283,yes
2284,no
2285,no
2286,yes
2287,no
2288,yes
2289,yes
2290,no
2291,yes
2292,yes
2293,yes
2294,no
2295,no
2296,yes
2297,no
2298,yes
2299,no
2300,no
2301,no
2302,no
2303,yes
2304,no
2305,yes
2306,yes
2307,no
2308,yes
2309,no
2310,yes
2311,yes
2312,yes
2313,yes
2314,yes
2315,no
2316,no
2317,yes
2318,yes
2319,no
2320,yes
2321,yes
2322,no
2323,yes
2324,yes
2325,no
2326,no
2327,yes
2328,yes
2329,yes
2330,yes
2331,yes
2332,yes
2333,yes
2334,no
2335,yes
2336,no
2337,yes
2338,yes
2339,yes
2340,no
2341,no
2342,yes
2343,no
2344,no
2345,no
2346,no
2347,no
2348,yes
2349,no
2350,no
2351,yes
2352,yes
2353,no
2354,yes
2355,no
2356,no
2357,no
2358,no
2359,yes
2360,no
2361,no
2362,yes
2363,no
2364,yes
2365,no
2366,yes
2367,no
2368,no
2369,no
2370,yes
2371,yes
2372,yes
2373,no
2374,no
2375,yes
2376,yes
2377,yes
2378,no
2379,no
2380,yes
2381,no
2382,no
2383,yes
2384,no
2385,yes
2386,no
2387,yes
2388,yes
2389,no
2390,no
2391,yes
2392,no
2393,no
2394,yes
2395,yes
2396,yes
2397,yes
2398,no
2399,yes
2400,yes
2401,no
2402,yes
2403,yes
2404,no
2405,yes
2406,no
2407,no
2408,yes
2409,no
2410,no
2411,yes
2412,yes
2413,yes
2414,no
2415,yes
2416,no
2417,no
2418,no
2419,yes
2420,yes
2421,no
2422,no
2423,no
2424,yes
2425,yes
2426,no
2427,no
2428,yes
2429,yes
2430,no
2431,no
2432,yes
2433,yes
2434,yes
2435,yes
2436,no
2437,yes
2438,yes
2439,yes
2440,no
2441,no
2442,no
2443,no
2444,no
2445,no
2446,no
2447,yes
2448,yes
2449,yes
2450,yes
2451,no
2452,no
2453,yes
2454,yes
2455,yes
2456,yes
2457,yes
2458,no
2459,no
2460,yes
2461,no
2462,no
2463,no
2464,yes
2465,yes
2466,no
2467,no
2468,no
2469,yes
2470,yes
2471,no
2472,yes
2473,no
2474,yes
2475,yes
2476,yes
2477,yes
2478,no
2479,yes
2480,yes
2481,yes
2482,no
2483,no
2484,no
2485,no
2486,yes
2487,no
2488,no
2489,no
2490,no
2491,yes
2492,no
2493,yes
2494,yes
2495,yes
2496,yes
2497,yes
2498,yes
2499,yes
2500,no
2501,no
2502,yes
2503,no
2504,no
2505,yes
2506,yes
2507,no
2508,yes
2509,yes
2510,no
2511,no
2512,no
2513,no
2514,no
2515,no
2516,no
2517,yes
2518,yes
2519,yes
2520,yes
2521,no
2522,no
2523,no
2524,no
2525,yes
2526,yes
2527,yes
2528,yes
2529,no
2530,no
2531,yes
2532,yes
2533,yes
2534,yes
2535,no
2536,no
2537,yes
2538,yes
2539,yes
2540,yes
2541,yes
2542,yes
2543,yes
2544,yes
2545,yes
2546,yes
2547,yes
2548,yes
2549,yes
2550,no
2551,no
2552,yes
2553,yes
2554,yes
2555,no
2556,yes
2557,no
2558,yes
2559,no
2560,yes
2561,no
2562,no
2563,yes
2564,no
2565,no
2566,no
2567,yes
2568,no
2569,yes
2570,yes
2571,no
2572,no
2573,no
2574,yes
2575,no
2576,yes
2577,yes
2578,no
2579,yes
2580,no
2581,no
2582,yes
2583,yes
2584,yes
2585,yes
2586,no
2587,no
2588,yes
2589,no
2590,no
2591,yes
2592,yes
2593,no
2594,no
2595,no
2596,no
2597,yes
2598,no
2599,no
2600,yes
2601,no
2602,yes
2603,yes
2604,no
2605,yes
2606,no
2607,yes
2608,yes
2609,yes
2610,no
2611,no
2612,no
2613,yes
2614,yes
2615,yes
2616,no
2617,yes
2618,yes
2619,no
2620,no
2621,no
2622,yes
2623,yes
2624,yes
2625,no
2626,no
2627,no
2628,no
2629,no
2630,no
2631,yes
2632,no
2633,no
2634,yes
2635,no
2636,no
2637,yes
2638,no
2639,no
2640,no
2641,no
2642,no
2643,no
2644,yes
2645,no
2646,no
2647,no
2648,no
2649,yes
2650,yes
2651,yes
2652,yes
2653,no
2654,yes
2655,yes
2656,no
2657,yes
2658,yes
2659,yes
2660,no
2661,no
2662,yes
2663,yes
2664,no
2665,yes
2666,yes
2667,no
2668,yes
2669,no
2670,yes
2671,yes
2672,yes
2673,yes
2674,no
2675,no
2676,yes
2677,no
2678,yes
2679,yes
2680,yes
2681,yes
2682,no
2683,no
2684,no
2685,yes
2686,no
2687,yes
2688,yes
2689,no
2690,yes
2691,no
2692,no
2693,yes
2694,yes
2695,yes
2696,yes
2697,yes
2698,yes
2699,no
2700,yes
2701,no
2702,yes
2703,yes
2704,no
2705,yes
2706,no
2707,no
2708,no
2709,yes
2710,yes
2711,no
2712,yes
2713,no
